ADDRESS,FIRST APPROACH,SECOND APPROACH,LATITUDE,LONGITUDE,GO-LIVE DATE,LOCATION
3450 W 71st St,WB,EB,41.7644,-87.7097,09/06/2013,"(41.7644, -87.7097)"
6247 W Fullerton Ave,EB,,41.9236,-87.7825,12/21/2013,"(41.9236, -87.7825)"
6250 W Fullerton Ave,WB,,41.9238,-87.7826,12/21/2013,"(41.9238, -87.7826)"
5509 W Fullerton Ave,EB,,41.9239,-87.7639,12/12/2013,"(41.9239, -87.7639)"
5446 W Fullerton Ave,WB,,41.9241,-87.763,12/12/2013,"(41.9241, -87.763)"
4843 W Fullerton Ave,EB,WB,41.9241,-87.748,01/13/2014,"(41.9241, -87.748)"
6523 N Western Ave,NB,SB,42.0003,-87.6898,11/10/2013,"(42.0003, -87.6898)"
4433 N Western Ave,NB,,41.9623,-87.6886,01/04/2014,"(41.9623, -87.6886)"
7739 S Western Ave,NB,,41.7526,-87.6828,12/18/2013,"(41.7526, -87.6828)"
7738 S Western Ave,SB,,41.75269,-87.6831,12/18/2013,"(41.75269, -87.6831)"
2550 W 79th St,WB,,41.7502,-87.6874,12/18/2013,"(41.7502, -87.6874)"
5529 S Western Ave,SB,,41.79249,-87.6839,11/23/2013,"(41.79249, -87.6839)"
7833 S Pulaski Rd,NB,,41.7504,-87.7218,02/14/2014,"(41.7504, -87.7218)"
7826 S Pulaski Rd,SB,,41.7505,-87.7221,02/14/2014,"(41.7505, -87.7221)"
3832 W 79th St,WB,,41.74969,-87.7196,02/10/2014,"(41.74969, -87.7196)"
115 N Ogden Ave,NB,SB,41.8832,-87.6641,01/25/2014,"(41.8832, -87.6641)"
2721 W Montrose Ave,EB,WB,41.9611,-87.697,11/15/2013,"(41.9611, -87.697)"
2705 W Irving Park Ave,EB,,41.9539,-87.6962,11/15/2013,"(41.9539, -87.6962)"
2712 W Irving Park Ave,WB,,41.9541,-87.6966,11/15/2013,"(41.9541, -87.6966)"
5520 S Western Ave,NB,,41.7928,-87.6842,11/23/2013,"(41.7928, -87.6842)"
2108 S Western Ave,SB,,41.8536,-87.6858,04/25/2014,"(41.8536, -87.6858)"
346 W 76th St,WB,,41.7564,-87.6338,04/30/2014,"(41.7564, -87.6338)"
341 W 76th St,EB,,41.7561,-87.6336,04/30/2014,"(41.7561, -87.6336)"
3535 E 95th St,EB,,41.7228,-87.5376,06/30/2014,"(41.7228, -87.5376)"
3542 E 95th St,WB,,41.723,-87.537,06/30/2014,"(41.723, -87.537)"
215 E 63rd St,EB,WB,41.78,-87.6198,09/24/2014,"(41.78, -87.6198)"
4053 W North Ave,EB,,41.9097,-87.7286,11/09/2015,"(41.9097, -87.7286)"
4042 W North Ave,WB,,41.90999,-87.7281,11/09/2015,"(41.90999, -87.7281)"
1110 S Pulaski Rd,SB,,41.8676,-87.7254,09/05/2014,"(41.8676, -87.7254)"
3212 W 55th St,WB,,41.7936,-87.7042,01/07/2015,"(41.7936, -87.7042)"
8345 S Ashland Ave,NB,,41.7417,-87.6631,10/11/2014,"(41.7417, -87.6631)"
5006 S Western Blvd,SB,NB,41.8028,-87.6837,01/08/2018,"(41.8028, -87.6837)"
